,Name,place_id,Address,Coordinates,business_status,types,category
86,Kilauea Ave @ East Kahaopea St,ChIJMStRbxdLUnkR_UEv0619Ol0,United States,"{'lat': 19.689944, 'lng': -155.068}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
87,Kahaopea Street,ChIJYZfBrBBLUnkRgM4w-c_pLhk,United States,"{'lat': 19.68938899999999, 'lng': -155.066028}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
88,W. Kawailani St @ Iwalani Street - Hilo Life Care Center,ChIJBSpLuypLUnkRZh4TCl91TdQ,United States,"{'lat': 19.6827859, 'lng': -155.0947476}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
89,Kaumana City Nolemana St,ChIJ0XFuWMW1U3kRCt8vYuZOl0o,United States,"{'lat': 19.683194, 'lng': -155.178}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
90,Kaumana City Pakelekia Street at Nolemana St,ChIJ6YG_K9C1U3kRZ16ujh-jmME,United States,"{'lat': 19.68592259999999, 'lng': -155.1791274}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
91,Kaumana City Ua Nahele St,ChIJFzg3NNq1U3kRRCFuyzSC4n0,United States,"{'lat': 19.681564, 'lng': -155.1835376}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
92,Kaumana City Ua Nahele Street,ChIJQRX7M9q1U3kRzXfR2HYPHaA,United States,"{'lat': 19.6816317, 'lng': -155.1837231}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
93,Kaumana City Ua Nahele St,ChIJU7hxM9q1U3kRr_sVIuky-MI,United States,"{'lat': 19.6814517, 'lng': -155.1837443}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
94,Gentry Subdivision Wilder Rd,ChIJA35zbQe1U3kRdT25ic2MpGA,United States,"{'lat': 19.6814903, 'lng': -155.1419304}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
95,Kaumana Drive Wilder St,ChIJ93ud8gC1U3kRDVMjskhPei4,United States,"{'lat': 19.685528, 'lng': -155.141639}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
96,Kaumana Drive Wilder St,ChIJS_-h7QC1U3kRtObMbfZIVtY,United States,"{'lat': 19.6854271, 'lng': -155.1415599}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
97,Gentry Subdivision Keo St,ChIJOaBUxwe1U3kRQE1dEXLAEic,United States,"{'lat': 19.679235, 'lng': -155.1413918}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
98,Gentry Subdivision South Wilder Road @ Ioana Street,ChIJyZQAQgi1U3kRQkvBFKsTZ7g,United States,"{'lat': 19.6764786, 'lng': -155.141381}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
99,Gentry Subdivision Lukia St,ChIJjTst1ge1U3kRR3ih08Sb3Qw,United States,"{'lat': 19.6778254, 'lng': -155.1408367}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
100,Parking lot,ChIJa3yQnzC1U3kRkcD3rSldDFo,Hilo,"{'lat': 19.6687921, 'lng': -155.1067196}",,"['parking', 'premise', 'point_of_interest', 'establishment']",parking
101,Haihai Street @ Kupulau Road,ChIJ20HtJDC1U3kR9palRsxiFg8,United States,"{'lat': 19.672056, 'lng': -155.105694}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
