,Name,place_id,Address,Coordinates,business_status,types
98,Stewart Beach Condos,ChIJwTt0X3KfP4YR5vWojFesv7I,"325 Church St, Galveston","{'lat': 29.3091137, 'lng': -94.7708761}",OPERATIONAL,"['point_of_interest', 'establishment']"
99,Texas Building Lofts,ChIJv2xeS2qeP4YRjQoDHBRTtWQ,"415 Kempner St, Galveston","{'lat': 29.3052165, 'lng': -94.7925611}",OPERATIONAL,"['point_of_interest', 'establishment']"
100,Doug's place,ChIJ18nzUIGfP4YR5J-UDQyRk1c,"2221 29th St, Galveston","{'lat': 29.28738169999999, 'lng': -94.79542529999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
101,Anton’s Beach Paradise,ChIJnYDKIfedP4YRjEtgfTy0JUc,"7700 Seawall Blvd, Galveston","{'lat': 29.2582523, 'lng': -94.8420582}",OPERATIONAL,"['point_of_interest', 'establishment']"
102,cool beachouse,ChIJcWqVzamfP4YRhKsX4TRs8x8,"Seawall Blvd, Galveston","{'lat': 29.2800444, 'lng': -94.8030941}",OPERATIONAL,"['point_of_interest', 'establishment']"
103,Casa Del Mar Oceanfront Deals,ChIJW0rwgrWdP4YRYNbXrCezA4M,"6102 Seawall Blvd, Galveston","{'lat': 29.266096, 'lng': -94.82700919999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
104,Pointe West Resort,ChIJn8BYT6Z3QIYRZEG3ADbzJ4o,"4161 Pointe W Dr, Galveston","{'lat': 29.1011863, 'lng': -95.09958739999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
105,The Palms Condominiums,ChIJzxCkJVGdP4YR3YxyQcmXDAc,"7312 Seawall Blvd, Galveston","{'lat': 29.2601253, 'lng': -94.8386232}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']"
106,The Dawn Oceanfront Bliss Condominium,ChIJUx2jQeudP4YR5vaPf26IkGw,"7000 Seawall Blvd APT 215, Galveston","{'lat': 29.2621609, 'lng': -94.83561960000002}",OPERATIONAL,"['travel_agency', 'real_estate_agency', 'point_of_interest', 'establishment']"
107,Bay Water Condominiums,ChIJ39TTswh3QIYRHvumJJzO93k,"26619 Baywater Dr, Galveston","{'lat': 29.101205, 'lng': -95.106436}",CLOSED_TEMPORARILY,"['point_of_interest', 'establishment']"
108,The Galvestonian,ChIJI4JdosOfP4YRY8Xuq-FxvT8,"1401 E Beach Dr, Galveston","{'lat': 29.3182857, 'lng': -94.751745}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']"
109,The Naked Mermaid Condo,ChIJfTSx5AudP4YRlrQfZJ9_cmY,"7000 Seawall Blvd Unit 1134, Galveston","{'lat': 29.2621609, 'lng': -94.83561960000002}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
110,"Pirates Landing Townhouse Association, Inc.",ChIJAQDAHmqeP4YRz8FE4ubLMMU,"621 21st St, Galveston","{'lat': 29.3035413, 'lng': -94.7908109}",OPERATIONAL,"['point_of_interest', 'establishment']"
111,Chateau Lafitte Townhomes,ChIJsz458EqeP4YR4HNfERnD8Es,"711 Holiday Dr, Galveston","{'lat': 29.3078706, 'lng': -94.7716533}",OPERATIONAL,"['point_of_interest', 'establishment']"
112,Baypointe Manor Apartments,ChIJx2rkZ3V5P4YRsWL9KCSDm9w,"2701 13th Ave N, Texas City","{'lat': 29.3965673, 'lng': -94.93472779999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
113,Veranda,ChIJQ3N6ahR5P4YRzCcg3fFv1BU,"3700 9th Ave N, Texas City","{'lat': 29.39241, 'lng': -94.95376379999999}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
114,Terraces Apartments,ChIJNSOm9o95P4YRdwuwvYGdYPc,"2602 21st St N, Texas City","{'lat': 29.4095159, 'lng': -94.92460849999999}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
115,Windsor Estates Apartments,ChIJHSxGTnF-P4YRNvi-UxVwEl0,"2801 FM 2004 road, 2700 Gulf Fwy, Texas City","{'lat': 29.4099828, 'lng': -95.0314811}",OPERATIONAL,"['point_of_interest', 'establishment']"
116,Coral Manor Apartments,ChIJr3ro38R5P4YR7VSzmEIC-Fw,"729 5th Ave N, Texas City","{'lat': 29.3890037, 'lng': -94.9050365}",OPERATIONAL,"['point_of_interest', 'establishment']"
117,The Five Points at Texas Apartments,ChIJ1WRDLAZ5P4YRIHK91HVPLRs,"2902 Texas Ave, Texas City","{'lat': 29.3845618, 'lng': -94.9378997}",OPERATIONAL,"['point_of_interest', 'establishment']"
118,Palmer House Apartments,ChIJdTItLKJ5P4YRMjQWSNAEUpY,"2405 Palmer Hwy, Texas City","{'lat': 29.3941697, 'lng': -94.9295089}",OPERATIONAL,"['point_of_interest', 'establishment']"
119,Glacier Court Apartments,ChIJM1wlGvF-P4YR1aS6Jx9uUFI,"9001 Glacier Ave, Texas City","{'lat': 29.385873, 'lng': -95.0122674}",OPERATIONAL,"['point_of_interest', 'establishment']"
120,Pointe Ann Apartments,ChIJ_6fmHcJ5P4YRe3f4spIg8a0,"1225 10th St N, Texas City","{'lat': 29.3963726, 'lng': -94.909072}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
121,Del Sol Apartments,ChIJIx20g2V5P4YRO-jHaopmDPM,"3501 25th Ave N, Texas City","{'lat': 29.407339, 'lng': -94.94948629999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
122,Boterra at Lago Mar,ChIJU9I_let_P4YRAbaWJdlKxEU,"3301 Gulf Fwy, Texas City","{'lat': 29.4127931, 'lng': -95.0462702}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
