,Name,place_id,Address,Coordinates,business_status,types,category
108,Indoor Cruise Parking,ChIJBW3b_XWeP4YRvvqGo0EPcYk,"202 37th Street, Galveston","{'lat': 29.3027331, 'lng': -94.8101226}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
109,Port Parking,ChIJW3m34XWeP4YR1g2RqlFuMcQ,"202 37th Street, Galveston","{'lat': 29.302697, 'lng': -94.809512}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
110,Glaveston Cruise Terminal,ChIJDUWIyaqfP4YRfBIJMf5njA8,"3300 Harborside Drive, Galveston","{'lat': 29.3041619, 'lng': -94.8061477}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
111,"Falstaff Cruise Parking, Drive In & Cruise Out",ChIJVZAn6HaeP4YRQPdXE89epxM,"3402 Church Street, Galveston","{'lat': 29.3004531, 'lng': -94.80594579999999}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
112,Parking Area,ChIJtVbqb3SeP4YR5cQ0OCu4MXc,"224 33rd Street, Galveston","{'lat': 29.3034356, 'lng': -94.8054947}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
113,Discount Cruise Parking,ChIJ8zHXbzydP4YR0ZRwysjtgm4,"433 33rd Street, Galveston","{'lat': 29.3019206, 'lng': -94.80540810000001}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
114,Parking,ChIJTZjCXCafP4YRQgrwah9umws,"533 33rd Street, Galveston","{'lat': 29.3018621, 'lng': -94.80524229999999}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
115,Parking lot,ChIJl8Gno3OeP4YRIkGXlUSuFLQ,Galveston,"{'lat': 29.3053378, 'lng': -94.8031475}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
116,Parking lot,ChIJox8duHOeP4YROP6esjXYYcg,Galveston,"{'lat': 29.3044382, 'lng': -94.8029856}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
117,Port of Galveston West Entrance,ChIJBe1V6N6dP4YRy2vmLbXt0PQ,"4002 Port Industrial Road, Galveston","{'lat': 29.30404, 'lng': -94.8139803}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
118,3502 Seawall Blvd Parking,ChIJx8rFQIaeP4YRyGG-pUkOsXA,"3502 Seawall Boulevard, Galveston","{'lat': 29.28151149999999, 'lng': -94.8019011}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
119,4523 Seawall Blvd Parking,ChIJpxIjXSicP4YRb0mrtzXy4s0,"4523 Seawall Boulevard, Galveston","{'lat': 29.2750797, 'lng': -94.8126046}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
120,Freymiller Galveston Dropyard,ChIJOwzinqidP4YRT0iC0scmVUs,"5700 Harborside Drive, Galveston","{'lat': 29.2980668, 'lng': -94.83406320000002}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
121,6303 Broadway St. Parking,ChIJeRLcQbKdP4YRsGnmiVpwfoI,"6303 Broadway Street, Galveston","{'lat': 29.28783, 'lng': -94.8405191}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
122,Marlin Cruise Parking,ChIJoWd93cudP4YRQyRrIW9W_N0,"8115 Harborside Drive, Galveston","{'lat': 29.2875693, 'lng': -94.86271909999999}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
123,8701 Teichman Rd Parking,ChIJ0WUIc-KcP4YRVZGz08vjLL8,"8701 Teichman Road, Galveston","{'lat': 29.282649, 'lng': -94.8661714}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
124,Sand Dollar Autoplex,ChIJS4rEDwOdP4YRyUJKa1obLyA,"8020 Broadway Street, Galveston","{'lat': 29.2866847, 'lng': -94.8608958}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
