,Name,Address,Coordinates
145,Papajacs,"116 Kamehameha Ave Hilo, HI 96720","{'latitude': 19.72609, 'longitude': -155.0868}"
146,Leung's Chop Suey House,"530 E Lanikaula St Hilo, HI 96720","{'latitude': 19.70695, 'longitude': -155.06453}"
147,Mister D's Grillwagon,"57 Mamo St Hilo, HI 96720","{'latitude': 19.7230146156158, 'longitude': -155.085106031413}"
148,Sum Leung Chinese Kitchen,"50 E Puainako St Ste 106 Kta Puainako Shopping Ctr Hilo, HI 96720","{'latitude': 19.693594379666575, 'longitude': -155.06675369101822}"
149,Poly Feng Yuan,"81 W Kawailani St Hilo, HI 96720","{'latitude': 19.6838502201273, 'longitude': -155.06991188237015}"
150,Indo Grindz,"Hilo, HI 96720","{'latitude': 19.688579141460878, 'longitude': -155.08636595390172}"
151,Genki Sushi,"111 E Puainako St Hilo, HI 96720","{'latitude': 19.6990954476535, 'longitude': -155.064209660761}"
152,Kula Bowls,"330 Kamehameha Ave Hilo, HI 96720","{'latitude': 19.72358, 'longitude': -155.08504}"
153,Pho 19,"750 Kinoole St Hilo Hi 96720 Hilo, HI 96720","{'latitude': 19.71703, 'longitude': -155.08419}"
154,Liquid Life,"697 Manono St Hilo, HI 96720","{'latitude': 19.712759, 'longitude': -155.069726}"
155,Kitchen Umeko,"14 W Lanikaula St Ste 104 Hilo, HI 96720","{'latitude': 19.70705, 'longitude': -155.07554}"
156,Seoul Station,"417 Kalanikoa St Hilo, HI 96720","{'latitude': 19.71695, 'longitude': -155.065511}"
157,Lemongrass Restaurant,"16-586 Old Volcano Rd Ste 103 Keaau, HI 96749","{'latitude': 19.62219722357633, 'longitude': -155.04081590294282}"
158,Saucy Mama's,"18-1325 Old Volcano Road Inside Garden Mountain View, HI 96771","{'latitude': 19.550948010862726, 'longitude': -155.10754365473986}"
159,Lee's Chop Suey,"53 W Lanikaula St Hilo, HI 96720","{'latitude': 19.70605, 'longitude': -155.07642}"
160,Taco Bell,"2100 Kanoelehua Ave Hilo, HI 96720","{'latitude': 19.694708, 'longitude': -155.067093}"
161,Jamba,"111 Puainako St Hilo (Big Island), HI 96720","{'latitude': 19.698614184185107, 'longitude': -155.06164836157163}"
162,Arirang Korean Kitchen,"811 Laukapu St Hilo, HI 96720","{'latitude': 19.706894212925533, 'longitude': -155.06662253290415}"
163,Thai Smile,"Hilo, HI 96720","{'latitude': 19.7178401947021, 'longitude': -155.087936401367}"
164,Banyan Drive,"Banyan Dr Hilo, HI 96720","{'latitude': 19.727928, 'longitude': -155.066349}"
165,Pete's Belly Bustazs,"82 Puuhonu Pl Ste 104 Hilo, HI 96720","{'latitude': 19.71708, 'longitude': -155.09819}"
166,Alii Ice Company,"21 Banyan Dr Hilo, HI 96720","{'latitude': 19.724964, 'longitude': -155.068261}"
167,Hilo Coffee Mill,"17-995 Volcano Rd Mountain View, HI 96771","{'latitude': 19.564602, 'longitude': -155.088204}"
168,Hot Dog On a Stick,"111 E Puainako St Ste 428 Hilo, HI 96720","{'latitude': 19.697136, 'longitude': -155.063431}"
169,Onizuka Center,"177 Maka'ala St Maunakea Observatories Support Services Hilo, HI 96720","{'latitude': 19.644528, 'longitude': -155.21553}"
170,Starbucks,"438 Kilauea Ave Hilo, HI 96720","{'latitude': 19.71949403, 'longitude': -155.08255414}"
171,Mt View Bakery,"18-1319 Old Volcano Rd Mountain View, HI 96771","{'latitude': 19.55118, 'longitude': -155.10714}"
172,Pacific Tsunami Museum,"130 Kamehameha Ave Hilo, HI 96720","{'latitude': 19.72592, 'longitude': -155.0867}"
173,Pele's Kitchen,"15-2929 Pahoa Village Rd Pahoa, HI 96778","{'latitude': 19.4939485181951, 'longitude': -154.945757860919}"
174,Pahoa Fresh Fish,"15-2670 Pahoa Village Rd Pahoa, HI 96778","{'latitude': 19.5049859270427, 'longitude': -154.957336932421}"
175,Ocean Front Kitchen,"555 Kalanianaole Ave Ste A Hilo, HI 96720","{'latitude': 19.726839, 'longitude': -155.056191}"
176,Kalbi Express,"315 E Makaala St Ste 106 Hilo, HI 96720","{'latitude': 19.701575, 'longitude': -155.062816}"
177,Tea Time Hawaii,"315 E Kawili St Unit 103 Hilo, HI 96720","{'latitude': 19.70617, 'longitude': -155.0682516}"
178,Mr Ed's Bakery,"28-1672 Old Mamalahoa Hwy Honomu, HI 96728","{'latitude': 19.8693367, 'longitude': -155.1130501}"
179,Joann's Lounge,"88 Kanoelehua Ave Hilo, HI 96720","{'latitude': 19.7216396, 'longitude': -155.0647125}"
