,Name,Address,Coordinates,Lat,Long,fast_food,user_ratings_total,bakery,cafe,meal_delivery,meal_takeaway,restaurant,food,hours_open,weight
506,Onomea Bay,"Papaikou, HI 96781",POINT (-155.0937117664551 19.80932589795322),19.80932589795322,-155.0937117664551,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
507,Circ Du Latte,"301 Keawe St Hilo, HI 96720",POINT (-155.0861603 19.7233504),19.7233504,-155.0861603,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
508,Pizza Hut,"16-586 Old Volcano Rd Ste 1 Keaau, HI 96749",POINT (-155.040741170552 19.62192038161493),19.621920381614935,-155.04074117055202,1,0.9999999999999994,0,1,0,1,0,0,,11.952380952380953
509,Paradise Coffee Roasters,"250 Keawe St Hilo, HI 96720",POINT (-155.08686 19.72374),19.72374,-155.08686,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
510,Duck Fat Food Truck,"Hilo, HI 96720",POINT (-155.2227874111058 19.67305280935429),19.673052809354292,-155.2227874111058,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
511,Anuenue's Kitchen,"Hilo, HI 96720",POINT (-155.08107433746 19.7002107640964),19.7002107640964,-155.08107433746,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
512,Aunty Yong's Place,"688 Kinoole St Hilo, HI 96720",POINT (-155.08483 19.71745),19.71745,-155.08483,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
513,Lincoln Park,"405 Kinoole St Hilo, HI 96720",POINT (-155.086395412648 19.72130134641077),19.721301346410772,-155.086395412648,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
514,Kaleo's Bar and Grill,"16-110 Orchid Land Dr Keaau, HI 96749",POINT (-154.99301 19.56023),19.56023,-154.99301,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
515,Hawaii BBQ Deli,"111 E Puainako St Unit 570 Hilo, HI 96720",POINT (-155.06336 19.697428),19.697428,-155.06336,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
