id,name,categories,longitude,latitude,display_address
ChIJ94n6Sq60U3kRIBcaYKsP1jg,Gilbert Carvalho Park,"park, tourist_attraction, point_of_interest, establishment",-155.1043089,19.718473799999998,"850 Waianuenue Ave, Hilo, HI 96720, USA"
ChIJfbessqy0U3kRlbZqGL_Jn5E,Hilo Intermediate School,"school, point_of_interest, establishment",-155.0958402,19.7201922,"587 Waianuenue Ave, Hilo, HI 96720, USA"
ChIJ0zMCc620U3kRozQNRoOcBEs,Pete's Belly Bustazs,"restaurant, meal_delivery, food, point_of_interest, establishment",-155.0980825,19.7170111,"82 Puuhonu Way # 104, Hilo, HI 96720, USA"
ChIJ9Zq_EKy0U3kRWqaW4cwTPug,The Falls at Reed's Island,"guest_house, real_estate_agency, travel_agency, lodging, point_of_interest, establishment",-155.10144169999998,19.7207526,"286 Kaiulani St, Hilo, HI 96720, USA"
ChIJD3EPPOy1U3kRAx8JygTC44U,Women’s Health Specialists,"hospital, health, point_of_interest, establishment",-155.0981942,19.717074699999998,"Punahele Professional Building, 82 Puuhonu Pl STE 205, Hilo, HI 96720, USA"
ChIJAQCQc620U3kRLNyYkSm8kE4,CVS Pharmacy,"pharmacy, store, health, point_of_interest, establishment",-155.0983288,19.7170295,"82 Puuhonu Pl, Hilo, HI 96720, USA"
ChIJUzuGnra1U3kRN75hFxtkDLE,Wailele Nalo,"lodging, point_of_interest, establishment",-155.09903549999999,19.722057799999998,"266 Kaiulani St, Hilo, HI 96720, USA"
ChIJaSJmVau0U3kRDMuD498IXjc,Hilo Waianuenue Avenue @ Hilo High School,"bus_stop, transit_station, point_of_interest, establishment",-155.095889,19.721083,"Hilo, HI 96720, USA"
ChIJQVX-b620U3kRpYpuy2RmYYo,Aha Punana Leo Inc,"preschool, child_care_agency, school, point_of_interest, establishment",-155.097997,19.716601,"96 Puuhonu Pl, Hilo, HI 96720, USA"
ChIJqQAur6y0U3kRnqTLy6CODQg,Performing Arts Learning Center,"school, point_of_interest, establishment",-155.0964469,19.7220562,"556 Waianuenue Ave, Hilo, HI 96720, USA"
ChIJfbessqy0U3kRwQnxJoWjKVE,Hilo Special Education,"school, point_of_interest, establishment",-155.0958402,19.7201922,"587 Waianuenue Ave, Hilo, HI 96720, USA"
